object_name,kepler_name,disposition,koi_pdisposition,orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_radius,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,impact_parameter,transit_duration,koi_ingress,koi_dor,source,tid,toipfx,st_tmag,st_logg,st_dist,toi_created,ra,dec,pl_name,pl_letter,pl_eqt,st_mass
K00775.02,Kepler-52 b,CONFIRMED,CANDIDATE,7.8774163,1306.1,2.16,553.0,22.18,4126.0,0.615,0.633,4.661,3.0,135.0,10.036489,41.450657,0.041,2.0805,,29.84,Kepler,,,,,,,,,,,,
K00775.03,Kepler-52 d,CONFIRMED,CANDIDATE,36.4454001,1122.3,1.99,332.0,2.88,4126.0,0.615,0.633,4.661,3.0,27.0,5.9903665,19.803268,0.028,4.007,,71.53,Kepler,,,,,,,,,,,,
K00776.01,Kepler-673 b,CONFIRMED,CANDIDATE,3.728732147,5226.5,6.02,1023.0,258.34,5497.0,0.809,0.907,4.577,1.0,357.0,28.264866,360.1958,0.558,2.683,,9.7,Kepler,,,,,,,,,,,,
K00777.01,,CANDIDATE,CANDIDATE,40.4195037,6256.0,7.51,467.0,11.29,5446.0,0.781,0.714,4.507,1.0,36.0,22.598503,94.071846,0.911,3.362,,54.7,Kepler,,,,,,,,,,,,
K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,2.243380573,821.7,1.99,822.0,107.6,4149.0,0.564,0.578,4.698,1.0,472.0,4.251499,30.578562,0.915,1.1196,,7.38,Kepler,,,,,,,,,,,,
K00779.01,,FALSE POSITIVE,FALSE POSITIVE,10.405998015,14488.8,11.23,833.0,113.94,5746.0,0.924,0.77,4.393,1.0,117.0,97.352005,691.1691,0.324,6.5036,,13.012,Kepler,,,,,,,,,,,,
K00780.01,Kepler-675 b,CONFIRMED,CANDIDATE,2.337437946,971.2,2.34,1070.0,311.16,5005.0,0.765,0.85,4.595,2.0,578.0,6.0310416,63.58795,0.28,1.9982,,8.86,Kepler,,,,,,,,,,,,
K00780.02,,CANDIDATE,CANDIDATE,7.2406612,556.4,19.45,734.0,68.63,5005.0,0.765,0.85,4.595,2.0,168.0,3.2751372,9.1666,1.198,0.558,,28.8,Kepler,,,,,,,,,,,,
K00115.03,,CANDIDATE,CANDIDATE,3.43591631,23.2,0.55,1272.0,617.61,5779.0,1.087,0.941,4.339,3.0,357.0,3.8943021,7.4337807,0.624,3.133,,6.65,Kepler,,,,,,,,,,,,
K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,11.59822233,2804.5,2.65,396.0,5.82,3688.0,0.473,0.503,4.79,1.0,115.0,11.461336,62.376225,0.679,2.5237,,28.2,Kepler,,,,,,,,,,,,
K00782.01,Kepler-677 b,CONFIRMED,CANDIDATE,6.575315881,2793.3,5.31,1015.0,251.38,5992.0,0.989,0.927,4.415,1.0,205.0,20.537346,210.22159,0.39,4.3084,,11.37,Kepler,,,,,,,,,,,,
K00783.01,Kepler-678 b,CONFIRMED,CANDIDATE,7.275040844,3001.0,4.86,833.0,113.64,5485.0,0.867,0.986,4.556,1.0,188.0,24.639503,234.95987,0.547,7.5377,,6.66,Kepler,,,,,,,,,,,,
K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,19.27153892,1219.8,1.93,393.0,5.66,4077.0,0.56,0.576,4.702,2.0,67.0,6.437265,28.490973,0.031,2.7594,,55.02,Kepler,,,,,,,,,,,,
K00784.02,Kepler-231 b,CONFIRMED,CANDIDATE,10.06524317,1053.3,1.91,488.0,13.43,4077.0,0.56,0.576,4.702,2.0,126.0,5.446764,21.658537,0.628,1.369,,45.9,Kepler,,,,,,,,,,,,
K00785.01,Kepler-679 b,CONFIRMED,CANDIDATE,12.3935651,916.6,2.66,677.0,49.68,5557.0,0.75,0.832,4.603,1.0,107.0,5.6057496,31.608551,0.883,3.8896,,13.07,Kepler,,,,,,,,,,,,
K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84439721,615.2,2.87,531.0,18.77,5854.0,1.012,0.951,4.406,4.0,29.0,16.554466,65.59482,0.852,6.802,,28.2,Kepler,,,,,,,,,,,,
K00798.01,,FALSE POSITIVE,FALSE POSITIVE,3.341913228,725.3,21.55,1032.0,268.67,5295.0,0.811,0.853,4.551,1.0,780.0,5.0937037,32.72262,1.213,3.813,,2.19,Kepler,,,,,,,,,,,,
K00799.01,,FALSE POSITIVE,FALSE POSITIVE,1.626630225,1620.6,32.43,1547.0,1355.88,5735.0,0.973,0.889,4.41,1.0,664.0,5.3061833,45.885685,1.26,2.1145,,2.38,Kepler,,,,,,,,,,,,
K00800.01,Kepler-234 b,CONFIRMED,CANDIDATE,2.711504086,837.5,3.12,1420.0,960.79,6214.0,1.076,1.169,4.442,2.0,494.0,6.3430967,48.726124,0.023,3.0099,,7.088,Kepler,,,,,,,,,,,,
K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,7.21203748,950.4,3.32,1025.0,260.58,6214.0,1.076,1.169,4.442,2.0,165.0,6.1683164,40.04205,0.012,4.0491,,14.003,Kepler,,,,,,,,,,,,
K00789.01,,FALSE POSITIVE,FALSE POSITIVE,14.1798187,459.9,1.88,711.0,60.35,5799.0,0.878,0.975,4.539,1.0,,,,0.1601,2.505,,43.54,Kepler,,,,,,,,,,,,
K00790.01,Kepler-233 b,CONFIRMED,CANDIDATE,8.47237911,1123.5,2.59,751.0,75.44,5354.0,0.788,0.884,4.587,2.0,159.0,5.7419868,39.867977,0.022,2.7245,,24.47,Kepler,,,,,,,,,,,,
K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,60.4189369,931.3,2.36,390.0,5.49,5354.0,0.788,0.884,4.587,2.0,22.0,6.335456,15.139797,0.094,5.039,,93.71,Kepler,,,,,,,,,,,,
K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,12.611904345,6105.6,7.4,753.0,76.15,5795.0,0.919,0.992,4.508,1.0,104.0,31.536423,207.6196,0.55,5.1497,,17.27,Kepler,,,,,,,,,,,,
K00792.01,,FALSE POSITIVE,FALSE POSITIVE,1.433769925,1976.3,46.58,1920.0,3209.29,6017.0,1.339,1.083,4.22,1.0,481.0,10.709492,67.78838,1.268,1.8868,,2.46,Kepler,,,,,,,,,,,,
