pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec
K2-329 b,b,12.4551225,,8.675766,650.0,3.621,0.822,0.901,5282.0,4.566,351.1353785,-5.1641451
K2-399 b,b,0.759978,,6.049,,1.1,1.541,0.783,5690.0,3.956,158.0734448,2.2378452
K2-399 b,b,0.759978,,6.049,,,1.541,0.783,5690.0,3.956,158.0734448,2.2378452
K2-268 c,c,9.327527,,2.69,696.0,3.35,0.78,0.84,5106.0,4.58,133.7094899,11.8482712
K2-18 b,b,32.9418,,2.28,,2.682,0.4,0.42,3496.0,4.858,172.560141,7.5878315
K2-74 b,b,19.565557,,2.95906745,,,1.086156,0.987182,5929.0,4.24,339.9192984,-8.7145697
K2-198 c,c,3.3596055,,1.423,1229.9,,0.757,0.799,5212.9,,198.8436817,-6.4649888
WASP-47 d,d,9.0305419,0.107,3.06,,4.37,0.86,,5427.0,,331.203092,-12.019067
K2-110 b,b,13.85870316,0.126,,,3.747,0.71181,0.811,4936.0,4.64236,207.3497402,-12.2849182
K2-3 b,b,10.054374,0.145,2.4,,2.61,0.58,,3927.0,,172.3353708,-1.4551364
K2-273 b,b,11.7195663,,3.05,849.0,,0.85,0.89,5161.0,4.53,129.7768928,19.0100046
K2-72 d,d,7.7599,,0.73,,1.45,0.232,0.217,3497.0,5.048,334.6227504,-9.6120084
EPIC 220674823 b,b,0.571308,,1.46,,,0.83,0.93,5590.0,4.56,13.0800239,10.7947051
K2-351 b,b,7.80651068,0.053,,,3.2,1.03974,1.03,5739.0,4.41706,206.6522408,-11.8049588
K2-31 b,b,1.2578332,0.716,,,0.931,1.02904,0.922,5340.0,4.37794,245.4405531,-23.548273
K2-32 b,b,8.99218,,5.38,769.0,3.693,0.87,0.87,5315.0,4.43,252.426008,-19.5430504
K2-5 b,b,5.73597,,1.5,,2.35,0.462,0.52,4021.0,4.823,169.3034598,-1.8778254
K2-53 b,b,12.207632,0.1,2.47,,3.64,0.72,,4684.0,,244.1419684,-20.4005984
K2-33 b,b,5.4252061,0.263,0.868,,4.27,0.16,,2890.0,,242.5613635,-19.3193831
K2-260 b,b,2.62669768,,,,,1.69,1.39,6367.0,4.15,76.8673317,16.8676948
K2-266 c,c,7.814,0.0085,0.705,664.5,2.256,0.703,0.686,4285.0,4.581,157.9356855,0.9372782
K2-115 b,b,20.273017,,,,,0.88,0.95,5657.0,4.53,126.5535002,12.281851
K2-72 c,c,15.189034,,1.16,,,0.330989,0.271365,3360.47,,334.6227504,-9.6120084
K2-413 b,b,0.8094,,0.7599,,,0.7,0.808,4116.0,4.656,353.4175668,-7.6120272
K2-286 b,b,27.359,0.112,2.1,347.0,3.0,0.62,0.64,3926.0,4.7,233.3698192,-16.7737113
K2-16 c,c,19.07536,,2.14,523.0,,0.64,0.67,4761.0,,175.0972238,4.5574311
K2-209 b,b,2.080615,,0.86850263,,,0.712365,0.74479,4720.0,4.46,14.6903464,1.382807
HD 224018 b,b,10.6413,,0.91,968.0,,1.147,1.013,5784.0,4.32,358.6390056,-4.7233362
K2-147 b,b,0.961918,,0.73,,,0.31,,3775.0,5.0,293.8330329,-28.498475
EPIC 249893012 b,b,3.5951,,1.95,1616.0,4.33,1.71,1.05,5430.0,3.99,228.2482353,-16.7246474
K2-351 b,b,7.80692,0.0681,3.03,,2.808,1.103,,,,206.6522408,-11.8049588
K2-133 d,d,11.0234,0.19,2.02,,2.32,0.47,0.51,3655.0,,70.1493775,25.0098135
K2-372 b,b,9.844,0.0809,,,3.42504,0.957455,0.96,5500.23,4.4581,130.7988719,13.0094226
K2-16 b,b,7.61856,,1.96,,2.24,0.67,0.69,4800.0,4.629,175.0972238,4.5574311
K2-68 b,b,8.05428,,1.58,,2.72,0.675,0.73,4746.0,4.632,334.0195539,-10.5673649
K2-22 b,b,0.381078,,2.5,2100.0,0.8,0.57,0.6,3830.0,4.65,169.4827046,2.6190363
K2-22 b,b,0.381078,,4.75,,,0.581569,0.595292,3879.18,,169.4827046,2.6190363
K2-22 b,b,1.143201,,3.0,,0.651,0.382,0.421,3865.0,4.886,169.4827046,2.6190363
K2-22 b,b,0.38107852,0.558,4.61,,0.73,0.57,,3892.0,,169.4827046,2.6190363
K2-22 b,b,0.381087,,4.31,,,0.54,,3830.0,4.65,169.4827046,2.6190363
K2-22 b,b,0.3810654,0.624,5.4,,0.5856,0.64,,,,169.4827046,2.6190363
K2-22 b,b,0.381073,,2.3,,,0.58,,3879.0,4.7,169.4827046,2.6190363
K2-44 b,b,5.656256,0.0342,2.08,,4.28,1.03,,5840.0,,174.011661,-2.5209338
K2-132 b,b,9.1720535,0.058,9.02881,1152.0,7.169,3.79,,4933.0,4.438,182.1662666,-8.7472172
K2-132 b,b,9.1751,,14.5717,,,3.85,1.08,4840.0,3.297,182.1662666,-8.7472172
K2-3 c,c,24.6454,,1.72,,3.428,0.561,0.601,3896.0,,172.3353708,-1.4551364
EPIC 214888033.01,,7.46475831483,1.05838259,11.93024915,941.04,1.0430706,1.15577,,5357.0,4.27941,280.8765309,-25.4110574
HATS-11 b,b,3.61887686846,1.26582719,16.6459863,1443.92,4.3583808,1.46198,,5871.0,4.13349,289.4007603,-22.3900092
K2-24 c,c,42.3633,,7.82,,,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029
K2-24 b,b,20.8851,,5.68,,,1.21,1.12,5743.0,4.29,242.5734559,-24.9906029
K2-31 b,b,1.25785,,,,,0.986,1.0,5412.0,4.44,245.4405531,-23.548273
