toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
103.01,336732616,KP,103,11.5232,1.4,6351.0,4.22896,411.211,2018-09-05 18:49:20,312.457488,-24.428694
1030.01,464296022,FP,1030,9.5706,1.07,4807.6,4.17,78.41273,2019-07-24 18:44:12,155.831478,-57.590248
1031.01,304021498,FP,1031,9.7318,1.92,6415.4,3.98,270.771,2019-06-25 15:58:39,140.88389,-67.026006
1032.01,146589986,PC,1032,9.7611,2.3383701,10395.0,4.13,587.196,2019-07-24 18:44:12,159.221506,-42.541639
1033.01,149601557,FP,1033,10.0163,2.01,6113.1,,219.94,2019-06-11 14:45:00,87.282586,-60.498444
1034.01,400595342,FP,1034,9.8174,1.60776,9810.0,4.43,363.44,2019-07-24 18:44:12,134.441752,-49.000578
1035.01,361413119,PC,1035,10.1126,2.4303801,5964.0,3.7,347.556,2019-07-24 18:44:12,144.150273,-61.583182
1036.01,146172354,PC,1036,10.2855,1.18,5771.0,4.31,184.015,2019-07-24 18:44:12,157.867112,-42.240448
1037.01,363260203,FP,1037,9.0211,1.74,9158.0,4.32,279.698,2019-07-24 18:44:12,147.385172,-63.306478
1038.01,90544017,FP,1038,8.7157,2.17,8904.0,4.09,280.765,2019-07-24 18:44:12,128.454638,-49.940347
1039.01,461867584,APC,1039,8.5483,,,,2864.34,2019-07-24 18:44:12,149.688545,-58.760453
104.01,231670397,KP,104,9.8638,2.2186699,6036.0,3.93359,316.678,2018-09-05 18:49:20,319.949697,-58.148933
1040.01,310483807,FP,1040,8.3854,6.04,10037.0,,732.432,2019-07-24 18:44:12,128.61421,-61.488262
1041.01,385624852,FP,1041,8.0981,3.05,9081.0,3.83,305.034,2019-07-24 18:44:12,138.402252,-55.19791
1042.01,360286627,PC,1042,9.718,3.5086601,9917.0,3.75,792.633,2019-07-24 18:44:12,141.975215,-61.33004
