,XGBoost,LightGBM,CatBoost,Random Forest,Extra Trees,Ensemble Average
depth_radius_ratio,0.005998182,297,0.2353693726331834,0.0030468985969109314,0.004559103856758598,59.44979471143946
koi_count,0.066483185,268,1.9597020419506284,0.009024823489527658,0.03073710956972884,54.01318943194102
semi_major_axis,0.0078255795,267,0.4463817341915463,0.004822305521726405,0.005411512601856401,53.49288822636188
toipfx_normalized,0.025929824,231,5.751163082875395,0.05545452704932649,0.05508338204759863,47.377526163098025
st_tmag_normalized,0.008445188,234,2.307016856971146,0.016716531731260132,0.011585096278227248,47.26875273467675
stellar_teff_normalized,0.006526736,234,2.1918875289522735,0.012115849478198082,0.006464978739153347,47.243399018649306
ra_normalized,0.005560499,215,1.719367656273137,0.016425037458274627,0.025257817985674516,43.35332220217348
koi_teq,0.008373773,214,0.21543467784144196,0.003965359377547248,0.008152889893259978,42.847185339967545
orbital_period,0.01865096,210,0.6142654455302259,0.005628637505535006,0.0049325643727404205,42.128695521517145
tid_normalized,0.005724157,194,1.141228253196857,0.016219128568522815,0.03862161940659692,39.040358631675744
dec_normalized,0.006238821,170,2.30812948143535,0.01524610404745551,0.027462218470178726,34.47141532498312
transit_duration_normalized,0.006625879,151,1.7278199742425775,0.006453962746134225,0.0060414269785133215,30.5493882486115
st_logg_normalized,0.006480486,151,0.8788516686213577,0.007632981270231419,0.003647719919243905,30.379322571188613
st_dist_normalized,0.010337274,140,1.3428917055099931,0.012510561482185437,0.005193698699885436,28.274186647856464
impact_parameter_normalized,0.006886482,135,0.9224816238555507,0.006338623627129353,0.005391190878268806,27.188219584026815
period_duration_ratio_normalized,0.029711308,132,2.864320600033577,0.02154703077644769,0.0061521842881378545,26.984346224611187
koi_insol,0.0068609947,129,0.22150130438505491,0.004235951393577365,0.0020603278632555554,25.84693171567515
snr_ratio_normalized,0.019691575,122,1.9000391384942128,0.027493936508191336,0.018451339606458287,24.793135197985485
koi_smass_normalized,0.0059053525,114,0.54764291687577,0.0032586018718178122,0.0030787182863448257,22.91197711791336
temp_ratio_normalized,0.0064946627,105,0.7871000110449476,0.011193046278360201,0.010444796150874658,21.163046503239723
planet_energy_normalized,0.08662136,104,0.8126616092706274,0.022588723378772838,0.001195971341904845,20.984613532596395
koi_max_mult_ev_normalized,0.03366977,101,3.104462916861489,0.020223747323942064,0.007588864193566072,20.833189059628587
koi_slogg_normalized,0.0064470996,103,0.48556906484091583,0.0030358684553904503,0.0033431264248426763,20.699679031867205
radius_ratio_normalized,0.008740978,99,2.3050395515994277,0.014673773776461011,0.009768111945760648,20.267644483127423
koi_max_sngle_ev_normalized,0.006842418,96,0.7654204715083839,0.0070770399853864316,0.004833499939121967,19.356834685908204
snr_product_normalized,0.012674935,92,1.2673793126733737,0.014996965402178193,0.003231787720464109,18.659656600191617
planet_radius_squared,0.008662595,92,0.7221929971727742,0.01512119004378936,0.002947181846188333,18.549784792895274
koi_dor_normalized,0.00971558,89,1.1301408986887536,0.014703889590689523,0.005442451749919936,18.03200056408216
koi_num_transits_normalized,0.0091051925,86,1.4005235127764168,0.00450205204473849,0.02397971904850476,17.487622095273405
stellar_radius_normalized,0.007778051,84,1.4468295464894887,0.010393710101531735,0.004946319057087982,17.093989525298344
habitability_index_normalized,0.007559905,85,0.23854239365703706,0.004205506328076899,0.0033348344542952295,17.050728527853614
impact_duration_normalized,0.005681066,83,0.7683006247949332,0.005113130173070337,0.004652293104071065,16.756749422782917
depth_radius_ratio_normalized,0.0063555,80,0.39402839819515273,0.0035831158320397097,0.004223476432651048,16.081638098061713
snr_diff_normalized,0.016464178,79,1.1024940302442412,0.021466084956036947,0.007458526482494835,16.029576563840372
transits_per_day_normalized,0.009037444,75,0.2030765943126849,0.004818725523438493,0.009436772036093447,15.045273907248045
transit_depth_squared,0.005464743,72,0.14019501353036265,0.002818757918077148,0.003272541380720252,14.43035021114413
koi_count_normalized,0.055424675,48,1.5391790537757801,0.009134658182647717,0.036283112755619344,9.928004300011894
semi_major_axis_normalized,0.0069809393,42,0.3983793199521724,0.004917501195380079,0.005148784363710703,8.483085308962771
orbital_period_squared,0.015006026,35,0.32076159140214955,0.006058141235250429,0.003030777969210706,7.068971307371942
koi_teq_normalized,0.005845507,30,0.23531147526779667,0.0035631240945795126,0.00795338636426499,6.050534698573569
planet_radius_sqrt,0.025485152,26,0.4366639000078678,0.011016958169506761,0.009613204599462884,5.296555843031103
koi_insol_normalized,0.01426368,22,0.379257430042766,0.004310161335570482,0.0020440748049119013,4.479975069277599
transit_depth_sqrt,0.0060950713,8,0.19867729161650508,0.0038801886690477483,0.018545141723268353,1.6454395386664076
orbital_period_sqrt,0.01133727,4,0.22165904811402512,0.005429630541635747,0.006580145902124352,0.849001218917335
planet_radius_normalized,0.0,2,1.2156058643959855,0.016107265745212908,0.0041919217052007384,0.6471810103692798
transit_depth_log,0.0025493028,3,0.11568751701392761,0.00328947882705604,0.021374863869838286,0.6285802324950117
planet_radius_log,0.0,2,0.6638726704346334,0.014119953782911351,0.03793876480619041,0.543186277804747
planet_radius_squared_normalized,0.0,0,1.7520260167467467,0.013289866327118573,0.0033952830338614044,0.35374223322154535
orbital_period_log,0.0,1,0.41520984594899607,0.005633044949390604,0.015932921109605338,0.2873551624015984
planet_radius_sqrt_normalized,0.0,0,1.0277664068873653,0.014885784807619493,0.009898599722294244,0.21051015828345582
