flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
9556.93,13.045603,0.0015556249,165719,948.7480523930578,870.627703061745,9072.204,12.049,1303.086,4.7133265,9556.93,13.045603,0,,,,,948.7480523930578,0.0011126688,870.627703061745,0.0011368605,0.0229094,-0.036654882
9541.024,13.043472,0.0015556036,165720,948.7482021421556,870.6267768169054,9055.593,12.047032,1305.3989,4.7216096,9541.024,13.043472,0,,,,,948.7482021421556,0.0011161405,870.6267768169054,0.0011382907,0.022792904,-0.0382318
9550.399,13.050653,0.0015555823,165721,948.7470231542869,870.6226924601582,9064.773,12.053665,1301.5535,4.731963,9550.399,13.050653,0,,,,,948.7470231542869,0.0011146443,870.6226924601582,0.0011362013,0.023798866,-0.041377414
9547.708,13.061019,0.001555561,165722,948.7461256373363,870.6273818878781,9062.971,12.063238,1307.6123,4.751493,9547.708,13.061019,0,,,,,948.7461256373363,0.0011182318,870.6273818878781,0.00113731,0.020609075,-0.036510102
9546.617,13.041301,0.0015555398,165723,948.7451280033567,870.6259094513254,9059.764,12.045026,1297.032,4.720253,9546.617,13.041301,0,,,,,948.7451280033567,0.0011179675,870.6259094513254,0.0011365936,0.020959305,-0.037540782
9536.268,13.04191,0.0015555185,165724,948.7472724980851,870.6328155948263,9051.442,12.045589,1298.5768,4.731911,9536.268,13.04191,0,,,,,948.7472724980851,0.0011192212,870.6328155948263,0.0011351448,0.022600576,-0.030852668
9525.568,13.035283,0.0015554972,165725,948.7483081586178,870.6249311011293,9044.41,12.039469,1297.6442,4.7325444,9525.568,13.035283,0,,,,,948.7483081586178,0.0011151487,870.6249311011293,0.001135865,0.024598923,-0.037917614
9537.886,13.036735,0.0015554759,165726,948.7471213136143,870.6241982649575,9053.6875,12.04081,1298.4604,4.721989,9537.886,13.036735,0,,,,,948.7471213136143,0.0011170262,870.6241982649575,0.0011351375,0.023313934,-0.039813325
9541.866,13.034727,0.0015554546,165727,948.746535277651,870.6263977931378,9057.762,12.038955,1299.8086,4.7140193,9541.866,13.034727,0,,,,,948.746535277651,0.0011149243,870.6263977931378,0.0011343537,0.021972401,-0.037153732
9524.666,13.038237,0.0015554333,165728,948.7495309267028,870.6272933214884,9042.459,12.042196,1303.8547,4.722334,9524.666,13.038237,0,,,,,948.7495309267028,0.0011161882,870.6272933214884,0.0011374002,0.023422353,-0.038504343
9538.526,13.040775,0.0015554121,165729,948.7485429296554,870.6265326170609,9052.324,12.04454,1301.5,4.7202454,9538.526,13.040775,0,,,,,948.7485429296554,0.0011148361,870.6265326170609,0.0011368387,0.022989659,-0.037879314
9525.6875,13.024294,0.0015553908,165730,948.74679882557,870.6263793093204,9043.032,12.029319,1295.7106,4.7180934,9525.6875,13.024294,0,,,,,948.74679882557,0.0011173312,870.6263793093204,0.0011360702,0.020070158,-0.03900213
9535.104,13.04128,0.0015553695,165731,948.7487216282809,870.6288464851363,9048.139,12.045007,1303.423,4.7244244,9535.104,13.04128,0,,,,,948.7487216282809,0.0011197156,870.6288464851363,0.0011378285,0.02027512,-0.034218956
9552.781,13.040142,0.0015553482,165732,948.7503620797122,870.6239899247417,9068.141,12.043956,1298.9722,4.7134933,9552.781,13.040142,0,,,,,948.7503620797122,0.0011164834,870.6239899247417,0.0011349765,0.023469685,-0.03924527
9548.143,13.043117,0.0015553269,165733,948.7464307042432,870.6274011361598,9064.176,12.046703,1303.3735,4.718116,9548.143,13.043117,0,,,,,948.7464307042432,0.0011163097,870.6274011361598,0.0011350642,0.021247372,-0.037435267
9558.557,13.039086,0.0015553056,165734,948.7450177395905,870.6261117671822,9073.666,12.042981,1295.5474,4.7105727,9558.557,13.039086,0,,,,,948.7450177395905,0.0011141086,870.6261117671822,0.0011333463,0.020638889,-0.037639115
9566.81,13.048247,0.0015552843,165735,948.7475094136734,870.628577489489,9081.412,12.051443,1299.5234,4.708861,9566.81,13.048247,0,,,,,948.7475094136734,0.0011133031,870.628577489489,0.0011344043,0.02174925,-0.03743376
9531.061,13.032095,0.001555263,165736,948.7460882104399,870.6264374782852,9047.439,12.036525,1295.6508,4.726153,9531.061,13.032095,0,,,,,948.7460882104399,0.0011157704,870.6264374782852,0.0011349634,0.019643722,-0.03770597
9560.603,13.046213,0.0015552416,165737,948.7474898657296,870.6286456511854,9078.087,12.049564,1298.9463,4.712723,9560.603,13.046213,0,,,,,948.7474898657296,0.0011150533,870.6286456511854,0.0011335189,0.020693798,-0.035296135
