kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_smass,koi_slogg,koi_count,koi_num_transits,koi_max_sngle_ev,koi_max_mult_ev,koi_impact,koi_duration,koi_ingress,koi_dor,koi_period_log,koi_prad_category,koi_steff_category,stellar_density
K03972.01,,FALSE POSITIVE,FALSE POSITIVE,0.54028956,293.5,21.45,2279.0,6356.72,5997.0,0.993,1.093,4.483,1,2367.0,4.0017176,19.120535,1.181,3.619,,1.21,0.4319704247248958,Jupiter-size,G-dwarf,1.1162781307437992
K01673.01,,FALSE POSITIVE,FALSE POSITIVE,2.49047468,222.2,1.53,1413.0,940.43,6067.0,0.997,0.981,4.433,1,456.0,5.7833714,15.396135,0.522,2.2003,,7.55,1.2500377384269337,Earth-size,F-dwarf,0.9898822400669411
K01674.01,,FALSE POSITIVE,FALSE POSITIVE,2.17257963,335.5,13.55,1518.0,1254.52,6038.0,0.971,0.753,4.34,1,612.0,10.999209,27.503302,1.107,1.5794,,2.54,1.1545450203702061,Jupiter-size,F-dwarf,0.822502613278132
K01676.01,,FALSE POSITIVE,FALSE POSITIVE,3.307669761,243.1,3.87,1840.0,2710.89,5959.0,2.382,1.395,3.829,1,407.0,6.4001055,53.09929,0.602,1.672,,12.38,1.4603970992063433,Sub-Neptune,G-dwarf,0.10321645432338405
K01678.01,,FALSE POSITIVE,FALSE POSITIVE,3.183961388,39268.0,37.22,1615.0,1608.01,5716.0,1.76,1.039,3.963,1,209.0,370.6128,2804.6663,0.677,3.7875,,6.375,1.4312584982305554,Jupiter-size,G-dwarf,0.19058009720135236
K07837.01,,FALSE POSITIVE,FALSE POSITIVE,48.507991,288.9,2.06,511.0,16.08,6031.0,0.966,1.013,4.476,1,27.0,4.776902,9.525673,0.944,8.984,,15.87,3.9021340908889575,Sub-Neptune,F-dwarf,1.1237716355104808
K01679.01,,FALSE POSITIVE,FALSE POSITIVE,0.759766456,480.5,29.02,2128.0,4850.1,6174.0,1.026,1.09,4.455,1,1761.0,4.462037,19.87083,1.238,5.323,,1.271,0.5651811047906943,Jupiter-size,F-dwarf,1.009216670315772
K01785.01,,FALSE POSITIVE,FALSE POSITIVE,1.219034472,6923.8,9.82,1845.0,2734.97,5833.0,1.192,1.115,4.333,1,1098.0,85.43705,580.36395,0.075,2.151,,4.687,0.7970721787554333,Jupiter-size,G-dwarf,0.6583337212877225
K01954.01,,FALSE POSITIVE,FALSE POSITIVE,7.37339245,125.0,13.73,1098.0,344.18,6484.0,1.093,0.998,4.36,1,183.0,5.2062554,30.028416,1.104,2.883,,3.26,2.125059113018431,Jupiter-size,F-dwarf,0.7643109039480018
K01742.01,,FALSE POSITIVE,FALSE POSITIVE,4.70847097,32622.1,19.58,1202.0,493.0,6214.0,1.061,1.006,4.391,1,282.0,193.66692,2089.7664,0.418,6.0503,,6.534,1.7419512067223477,Jupiter-size,F-dwarf,0.8422709634232943
K01806.01,,FALSE POSITIVE,FALSE POSITIVE,2.404556949,408.7,4.69,1958.0,3474.41,6426.0,1.775,1.182,4.013,3,558.0,22.585836,101.209015,0.97,7.4918,,1.2755,1.225114813367436,Jupiter-size,F-dwarf,0.2113598073264024
K07850.01,,CANDIDATE,CANDIDATE,66.119119,862.0,3.0,452.0,9.89,5828.0,1.028,1.116,4.462,1,15.0,5.1471705,10.450334,0.256,3.086,,162.8,4.206468936327873,Sub-Neptune,G-dwarf,1.027270580213617
K01745.01,,CANDIDATE,CANDIDATE,0.982090079,5396.7,29.95,1568.0,1426.18,5472.0,0.742,0.75,4.573,1,1359.0,18.14169,327.15695,1.278,1.44892,,2.87,0.6841518834118743,Jupiter-size,G-dwarf,1.8359022223738377
K01795.01,,FALSE POSITIVE,FALSE POSITIVE,2.972047661,5945.0,24.74,881.0,142.01,4491.0,0.711,0.702,4.58,1,448.0,12.270788,112.449,1.207,1.198,,10.14,1.3792817453556487,Jupiter-size,K-dwarf,1.9531172239173027
K02362.01,,FALSE POSITIVE,FALSE POSITIVE,2.237180102,493.8,1.75,1134.0,390.02,5080.0,0.793,0.792,4.538,2,506.0,4.6350493,19.653214,0.374,1.4734,,11.03,1.1747026119505573,Earth-size,K-dwarf,1.5882015650053996
K02391.01,,FALSE POSITIVE,FALSE POSITIVE,0.93374232,351.4,18.29,1638.0,1706.25,5553.0,0.806,0.903,4.577,1,1441.0,3.8493803,20.651705,1.188,6.552,,1.219,0.6594571513393983,Jupiter-size,G-dwarf,1.7245771394149072
K02394.01,,FALSE POSITIVE,FALSE POSITIVE,134.76308997,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,1,143.0,5.5897505,19.2544115,0.537,8.77,,15.46,4.910911381200248,Sub-Neptune,G-dwarf,0.974
K02396.01,,FALSE POSITIVE,FALSE POSITIVE,0.5276763491099999,287.9,1.57,2151.0,5088.43,5529.0,0.936,0.945,4.471,1,1352.0,3.8639169,22.166708,0.009,1.2496,,3.132,0.42374785489901445,Earth-size,G-dwarf,1.1524026871660005
K02446.01,,FALSE POSITIVE,FALSE POSITIVE,8.48031302,107.0,2.74,1510.0,1229.56,6541.0,2.43,1.291,3.778,1,128.0,4.550977,12.960483,0.765,5.988,,7.19,2.2492173347091575,Sub-Neptune,F-dwarf,0.08997200971474689
K00439.02,,FALSE POSITIVE,FALSE POSITIVE,5.40534383,421.1,2.39,878.0,141.6,5767.0,1.0,0.974,4.438,2,143.0,5.5897505,19.2544115,0.537,2.32,,15.46,1.8571326154067265,Sub-Neptune,G-dwarf,0.974
K02480.01,,CANDIDATE,CANDIDATE,0.66682654,511.6,1.49,1183.0,461.55,3993.0,0.554,0.556,4.696,1,2005.0,4.5284963,24.343544,0.856,0.798706,,3.77,0.5109215431655779,Earth-size,K-dwarf,3.2699830191428565
K03973.01,,FALSE POSITIVE,FALSE POSITIVE,0.882131829,3620.9,8.13,1963.0,3510.31,6168.0,0.911,0.919,4.482,1,1535.0,4.045826,14.061095,0.968,6.8106,,1.128927,0.6324050860001079,Jupiter-size,F-dwarf,1.215515161957191
K03974.01,,FALSE POSITIVE,FALSE POSITIVE,0.5276763491099999,415072.9100000001,37.47,1251.0,580.4,3898.0,0.53,0.556,4.735,1,0.0,97.135605,372.58832,0.441,1.7495,,3.548523,0.42374785489901445,Jupiter-size,K-dwarf,3.7346265709276785
K03975.01,Kepler-1536 b,CONFIRMED,CANDIDATE,364.751562,1481.5,2.89,196.63,0.35,4386.0,0.63,0.616,4.629,1,4.0,8.554415,13.840163,0.875,13.057,,120.9,5.901954310567806,Sub-Neptune,K-dwarf,2.463536855071246
K03976.01,,FALSE POSITIVE,FALSE POSITIVE,2.189098506,2533.7,29.7,1288.0,651.22,5681.0,0.859,0.957,4.551,1,520.0,9.25434,42.543556,1.258,5.1498,,1.797,1.1597382768578486,Jupiter-size,G-dwarf,1.5098452822097175
K03977.01,,FALSE POSITIVE,FALSE POSITIVE,0.7088055,17575.0,41.08,2035.0,4055.22,5989.0,0.908,0.95,4.5,1,1223.0,104.699265,910.2304,1.238,3.6789,,1.648,0.5357945884115176,Jupiter-size,G-dwarf,1.2690129667370915
K01682.01,,FALSE POSITIVE,FALSE POSITIVE,88.821421,393.7,234.99,634.0,38.13,5081.0,3.365,1.258,3.484,1,143.0,5.5897505,19.2544115,1.6227,9.35,,17.09,4.497823488064397,Jupiter-size,K-dwarf,0.033016074468333344
K01689.01,,FALSE POSITIVE,FALSE POSITIVE,1.507761203,2773.7,31.77,1301.0,675.11,5069.0,0.818,0.826,4.53,1,892.0,29.73987,184.90883,1.292,3.096,,2.015,0.9193904041226901,Jupiter-size,K-dwarf,1.509107356932713
K01690.01,,FALSE POSITIVE,FALSE POSITIVE,1.506019633,136.9,1.08,1628.0,1660.03,6065.0,0.896,0.833,4.454,1,900.0,4.024571,15.5107975,0.528,2.408,,4.18,0.918695690840634,Sub-Earth,F-dwarf,1.1580330984933034
K07838.01,,FALSE POSITIVE,FALSE POSITIVE,0.572513875,49.3,0.52,1779.0,2365.45,5171.0,0.76,0.793,4.576,1,2335.0,3.4752574,7.4449325,0.04,2.353,,1.963,0.45267553308294317,Sub-Earth,K-dwarf,1.8064768916751712
