orbital_period,transit_depth,planet_radius,koi_teq,koi_insol,stellar_teff,stellar_density,disposition
2.539183147,382.1,2.06,1332.0,743.09,5519.0,0.7689287156894739,CONFIRMED
6.770300385,1304.0,2.77,812.0,102.87,5653.0,2.450112585228819,CONFIRMED
0.5667707258,10967.4,27.51,1836.0,2706.26,5255.0,2.755972554027324,FALSE POSITIVE
10.181584004,5741.1,7.73,812.0,102.91,5988.0,1.5146923722433492,CANDIDATE
20.06036336,1494.7,1.96,361.0,4.0,3950.0,4.29090680693716,CONFIRMED
46.1842039,1394.7,1.83,273.0,1.32,3950.0,4.29090680693716,CONFIRMED
23.9800854,104.0,1.31,649.0,41.94,5854.0,0.9175695216279184,CONFIRMED
7.82502168,520.8,1.2,494.0,14.05,3950.0,4.29090680693716,CONFIRMED
3.895936525,8544.8,7.34,1005.0,241.62,5557.0,1.8676479262991792,CONFIRMED
22.36646466,986.8,2.32,536.0,19.45,5395.0,2.076132071576416,CONFIRMED
1.625522174,7969.0,9.73,1579.0,1467.41,5539.0,0.6911084929046913,CONFIRMED
19.620346923,21724.6,13.6,643.0,40.39,5710.0,1.2519939741044337,CANDIDATE
7.544039,322.6,17.47,838.0,116.46,5657.0,1.642607783096785,FALSE POSITIVE
9.02930689,1019.8,2.57,757.0,77.75,5349.0,1.494464676948971,CONFIRMED
10.328035714,16917.7,13.28,843.0,119.31,5627.0,0.8139759302139282,FALSE POSITIVE
143.2063047,10565.7,8.9,308.0,2.14,5485.0,1.5129327447398917,CONFIRMED
6.164876,55.8,0.79,1021.0,256.35,5854.0,0.9175695216279184,CONFIRMED
60.32494216,20280.4,12.19,411.0,6.77,5485.0,1.5129327447398917,CONFIRMED
29.1598615,488.0,1.91,524.0,17.85,5485.0,1.5129327447398917,CONFIRMED
1.540397253,816.1,25.69,1470.0,1105.68,5663.0,1.3497621843694865,FALSE POSITIVE
2.99025443,589.2,1.7,918.0,168.45,4667.0,1.8867543371176516,FALSE POSITIVE
1.594745374,15044.5,11.3,1539.0,1329.42,5934.0,1.2652327191197672,CONFIRMED
4.783002698,1008.7,2.5,886.0,145.48,5170.0,1.6953411357727302,CONFIRMED
20.50588921,2105.5,3.41,518.0,17.06,4905.0,1.6768355320750377,CONFIRMED
3.340218842,1632.6,2.03,656.0,43.73,3950.0,4.29090680693716,CONFIRMED
2.507089906,1339.2,30.26,1326.0,730.47,5926.0,1.2440574831423057,FALSE POSITIVE
18.64932728,893.6,3.12,701.0,57.13,5775.0,0.8787437460906022,CONFIRMED
4.90144976,140.7,1.7,1262.0,598.74,5847.0,0.403878861585949,CONFIRMED
9.75192101,418.0,2.76,870.0,135.66,5775.0,0.8787437460906022,CONFIRMED
38.5576546,993.0,4.02,550.0,21.71,5775.0,0.8787437460906022,CONFIRMED
3.525632539,22335.0,11.58,975.0,213.12,5150.0,1.7145357804035564,CONFIRMED
34.84398644,4523.6,7.61,511.0,16.1,5509.0,1.2712320130374648,CANDIDATE
7.748094239,2472.1,5.52,964.0,204.39,5973.0,0.9246144642466914,CONFIRMED
23.96793669,1182.3,1.8,329.0,2.77,3747.0,3.72538300273432,CONFIRMED
8.29561738,824.3,1.82,469.0,11.39,3747.0,3.72538300273432,CONFIRMED
8.11437482,1558.0,2.1,460.0,10.55,3692.0,4.0017826964985845,CONFIRMED
38.036729482,82871.6,27.5,500.0,14.81,5575.0,1.2982399789016608,FALSE POSITIVE
4.64090031,2450.6,30.09,1155.0,421.08,6463.0,1.394705148472077,CANDIDATE
3.747838198,616.0,13.65,1031.0,266.76,5514.0,1.643125912830971,FALSE POSITIVE
14.74914825,430.2,2.89,874.0,137.91,5847.0,0.403878861585949,CONFIRMED
21.81295996,1175.4,3.38,639.0,39.33,5601.0,0.9368076133540296,CONFIRMED
7.91936937,15148.1,10.34,814.0,104.0,5690.0,1.8232844622334607,FALSE POSITIVE
1.028436523,8098.0,72.77,1947.0,3400.48,6228.0,0.9883551358911016,CANDIDATE
15.37562369,15337.0,11.01,600.0,30.54,4986.0,1.3719496811693614,CONFIRMED
8.10363271,887.9,2.11,687.0,52.82,4861.0,1.8688340205339429,CONFIRMED
4.71510843,417.5,1.46,823.0,108.84,4861.0,1.8688340205339429,CONFIRMED
6.365839713,780.7,2.44,914.0,165.33,5776.0,1.534413891126413,CONFIRMED
5.97581754,962.4,3.86,1047.0,284.25,6108.0,1.0817061787479725,FALSE POSITIVE
2.446737317,1177.9,26.25,1261.0,597.19,5764.0,1.4920597674583311,FALSE POSITIVE
3.04033046,10858.8,8.99,1021.0,257.29,5035.0,1.5234980243655465,CONFIRMED
15.33528675,3081.4,5.0,610.0,32.67,5251.0,1.698027881628819,CONFIRMED
7.95825328,50.0,1.06,1074.0,314.15,5847.0,0.403878861585949,CONFIRMED
31.33046135,5073.8,6.5,481.0,12.61,5251.0,1.698027881628819,CONFIRMED
3.9043425,16228.4,12.28,1104.0,351.05,5810.0,1.365737648740982,FALSE POSITIVE
9.286358079,44791.4,17.61,796.0,95.03,5670.0,1.4817822257153652,FALSE POSITIVE
3.951405455,2453.9,31.44,1133.0,388.71,6046.0,1.4522238712540054,FALSE POSITIVE
