pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec,stellar_density
EPIC 220674823 b,b,0.571212,0.1357,1.6,809.0,2.7888,0.95,0.88,5613.0,4.6,13.0800239,10.7947051,1.026388686397434
K2-229 b,b,0.584216,0.1357,1.0,809.0,2.7888,0.79,0.88,5315.0,4.6,186.8729195,-6.7218474,1.784848663087504
HAT-P-54 b,b,3.79985297,0.1357,2.6,809.0,2.7888,0.617,0.645,4390.0,4.667,99.8979924,25.479273582999987,2.7460233292860927
Wolf 503 b,b,6.738783,0.07443595,1.7575203,481.29,1.6479258,0.641805,0.88,4759.0,4.70975,206.8461979,-6.1393369,3.328690248100298
K2-38 c,c,10.56104,0.1357,2.18,862.0,2.7888,0.924,1.04,5679.0,4.32,240.0333095,-23.1894196,1.318309633371195
K2-38 b,b,4.01668,0.1357,1.55,1189.0,2.7888,0.924,1.04,5679.0,4.32,240.0333095,-23.1894196,1.318309633371195
HAT-P-54 b,b,3.79985363,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,99.8979924,25.479273582999987,1.3639610395866055
GJ 9827 b,b,1.2089755,0.0668,1.68645,1183.0,1.286,0.63,0.88,4199.0,4.65321,351.7717763,-1.2853435,3.5193383643874947
K2-55 b,b,2.849282,0.401,4.75272,912.0,1.907,0.74,0.88,4279.0,4.53,333.7518786,-17.2508002,2.1716384024638224
K2-36 c,c,5.3410507,0.1545,3.12,809.0,2.7888,0.726,0.81,4953.0,4.598,169.4490102,3.8665038,2.1167772377016654
HIP 41378 c,c,31.71802083162,0.0292865,2.29980485,696.5,2.3326321,1.30883,0.88,6352.33,4.30502,126.6158279,10.0803708,0.39249393402126287
WASP-47 b,b,4.1591488,1.28,12.1616,1259.0,3.54,1.11,0.88,5576.0,4.34,331.203092,-12.019067,0.6434484155448361
K2-180 b,b,8.86528860869,0.16999442,4.28539694,691.34,3.2904518,0.697439,0.88,5368.0,4.71954,126.4643579,10.246577,2.5939642433063512
K2-222 b,b,15.3886606556,0.04071051,2.53826377,779.17,4.3300643,1.0623,0.88,6101.0,4.44514,16.4625203,11.7537171,0.7340761729278006
K2-100 b,b,1.6739029,0.0863,3.44449,1461.0,1.355,1.22,0.88,6115.5,4.33,129.6010863,20.1060074,0.48462206087734216
K2-121 b,b,5.185768,1.3002,7.50399,935.0,2.356,0.65,0.88,4664.8,4.68,126.9366624,17.5793267,3.2043695949021394
K2-98 b,b,10.1367283,0.1059,5.44119,1563.0,5.341,1.51,0.88,6283.0,4.17177,126.4882114,11.5110933,0.2555946918791467
K2-105 b,b,8.2669589,0.1316,3.44807,958.0,3.328,0.92,0.88,5411.1,4.49,125.4202985,13.4975122,1.1301060244924797
K2-27 b,b,6.7713411,0.293,5.07965,965.0,2.836,0.89,0.88,5231.0,4.49,171.5151874,1.2306237,1.2482818393432902
K2-18 b,b,32.93737167947,0.31921429,2.53362939,331.03999999999996,2.3059589,0.444516,0.88,3464.0,4.7864,172.560141,7.5878315,10.018910087285523
WASP-107 b,b,6.738783,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,188.3864277,-10.1462141,1.3639610395866055
WASP-47 b,b,4.1591492,0.1357,12.64,809.0,2.7888,1.137,1.04,5552.0,4.3437,331.203092,-12.019067,0.7075415444260236
WASP-47 d,d,9.03055,0.1357,3.567,809.0,2.7888,1.137,1.04,5552.0,4.3437,331.203092,-12.019067,0.7075415444260236
K2-261 b,b,11.633482,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,163.0323119,0.493167,1.3639610395866055
WASP-47 b,b,4.15914806,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,331.203092,-12.019067,1.3639610395866055
WASP-107 b,b,5.7214904,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,188.3864277,-10.1462141,1.3639610395866055
K2-415 b,b,4.0179694,0.1357,1.015,412.4,2.7888,0.1965,0.1635,3173.0,4.990989999999999,137.2015437,11.8622503,21.549147451969002
K2-212 b,b,9.7954,0.1357,2.39257704,809.0,2.7888,0.598075,0.621928,4349.0,4.72,18.4241015,3.0970732,2.907188305161878
K2-104 b,b,1.974,0.1325,2.6,809.0,1.40712,0.502513,0.500534,3578.0,4.73521,129.6366594,19.7737202,3.9444974447187127
HAT-P-54 b,b,3.7999139,2.4,10.8,809.0,1.76,0.64,0.88,4171.0,4.4905,99.8979924,25.479273582999987,3.3569335937499996
HAT-P-54 b,b,3.799847,0.1357,10.581296,818.0,2.7888,0.617,0.645,4390.0,4.667,99.8979924,25.479273582999987,2.7460233292860927
K2-38 b,b,4.01593,0.1357,1.55,1184.0,2.861,1.1,1.07,5757.0,4.35,240.0333095,-23.1894196,0.803906836964688
K2-38 c,c,10.56103,0.1357,2.42,858.0,2.533,1.1,1.07,5757.0,4.35,240.0333095,-23.1894196,0.803906836964688
K2-38 b,b,4.01628,0.1357,1.64,809.0,2.74,1.12,1.08,5758.0,4.364,240.0333095,-23.1894196,0.7687226676384838
K2-38 c,c,10.56098,0.1357,2.41,809.0,2.38,1.12,1.08,5758.0,4.364,240.0333095,-23.1894196,0.7687226676384838
HAT-P-54 b,b,3.80001,0.1357,40.0,809.0,1.79808,0.68,0.88,4441.0,4.631,99.8979924,25.479273582999987,2.798697333604722
Wolf 503 b,b,6.00118,0.1357,2.03,805.0,1.321,0.69,0.688,4716.0,4.62,206.8461979,-6.1393369,2.094310962561148
K2-38 b,b,4.01593,0.016,1.90553,809.0,2.7888,1.38,1.6,5757.0,4.35,240.0333095,-23.1894196,0.6088113263259151
HAT-P-54 b,b,3.799847,0.1357,10.581296,809.0,2.7888,0.617,0.645,4390.0,4.4905,99.8979924,25.479273582999987,2.7460233292860927
K2-38 b,b,4.01663,0.02607,1.96,809.0,3.192,1.241,0.88,5293.0,4.4905,240.0333095,-23.1894196,0.46043393823586676
K2-38 c,c,10.56131,0.0484,2.83,809.0,2.64,1.241,0.88,5293.0,4.4905,240.0333095,-23.1894196,0.46043393823586676
HAT-P-54 b,b,3.799878,2.56,11.8,809.0,1.7616,0.693,0.88,5293.0,4.4905,99.8979924,25.479273582999987,2.6441310025450755
HAT-P-54 b,b,3.7998534,0.1357,2.6,809.0,2.7888,0.617,0.645,4390.0,4.667,99.8979924,25.479273582999987,2.7460233292860927
Wolf 503 b,b,6.00127,0.1357,2.043,790.0,1.33,0.689,0.688,4716.0,4.62,206.8461979,-6.1393369,2.1034431196221166
HAT-P-54 b,b,3.79985358153,2.5455085,13.26706229,782.65,1.8114914,0.759375,0.88,4133.4,4.48806,99.8979924,25.479273582999987,2.009619269258627
HAT-P-54 b,b,3.7998529,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,99.8979924,25.479273582999987,1.3639610395866055
K2-38 b,b,4.01593,0.1357,1.54,1266.0,2.7888,1.06,1.03,5731.0,4.38,240.0333095,-23.1894196,0.8648078615232708
K2-38 c,c,10.56103,0.1357,2.29,916.0,2.7888,1.06,1.03,5731.0,4.38,240.0333095,-23.1894196,0.8648078615232708
K2-38 b,b,4.01593,0.1357,1.655,1310.0,2.7888,1.141,1.054,5705.0,4.4905,240.0333095,-23.1894196,0.7095510999317423
K2-38 c,c,10.56103,0.1357,2.49,949.0,2.7888,1.141,1.054,5705.0,4.4905,240.0333095,-23.1894196,0.7095510999317423
Wolf 503 b,b,6.00127,0.1357,2.043,789.0,2.7888,0.689,0.688,4716.0,4.4905,206.8461979,-6.1393369,2.1034431196221166
WASP-107 b,b,5.72148722,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,188.3864277,-10.1462141,1.3639610395866055
K2-199 b,b,6.738783,0.21167297,3.17053923,609.33,3.0241239,0.701485,0.88,4550.0,4.60155,208.9014508,-6.1360833,2.549338505088447
HIP 41378 b,b,15.57208,0.1357,2.595,959.0,2.7888,1.273,1.16,6320.0,4.294,126.6158279,10.0803708,0.5623060785388403
HIP 41378 d,d,59.84855433221,0.1357,3.54,367.0,2.7888,1.273,1.16,6320.0,4.294,126.6158279,10.0803708,0.5623060785388403
K2-55 b,b,2.849271,0.1357,4.43,900.0,2.7888,0.715,0.688,4300.0,4.566,333.7518786,-17.2508002,1.8822196923815586
K2-121 b,b,5.185738,0.1357,7.16,716.0,2.7888,0.675,0.71,4526.0,4.63,126.9366624,17.5793267,2.308591170045216
K2-73 b,b,7.49556,0.1357,2.58,968.0,2.7888,1.058,1.02,5867.0,4.39,335.025662,-9.0560881,0.8612776324800534
K2-85 b,b,0.68453862616,0.1357,1.4,1355.0,2.7888,0.71,0.7,4232.0,4.44,59.464829,18.4649505,1.95579347938454
K2-27 b,b,6.771347,0.1357,4.74,836.0,2.7888,0.876,0.88,5246.0,4.48,171.5151874,1.2306237,1.3090925570328784
EPIC 211945201 b,b,19.491,0.1357,5.5,809.0,2.7888,1.387,1.17,6019.0,4.18,136.5741931,19.4020565,0.43848675398394815
EPIC 229004835 b,b,16.1388,0.1357,2.18,734.0,2.7888,0.998,0.95,5839.0,4.42,186.4860415,-1.4047214,0.95572287622864
K2-261 b,b,11.63395,0.1357,10.32,973.0,2.7888,1.679,1.09,5478.0,4.02,163.0323119,0.493167,0.23028964458843287
K2-100 b,b,1.67389,0.1357,3.57,1720.0,2.7888,1.227,1.21,6044.0,4.4,129.6010863,20.1060074,0.6550156584659966
K2-229 c,c,8.3262,0.1357,2.04,727.0,2.7888,0.774,0.84,5163.0,4.53,186.8729195,-6.7218474,1.811575355763638
K2-265 b,b,2.36906,0.1357,1.676,1257.0,2.7888,0.924,0.9,5435.0,4.47,342.0316493,-14.4947789,1.1408448750327649
K2-36 b,b,1.422586,0.1357,1.291,1200.0,2.7888,0.717,0.76,4836.0,4.55,169.4490102,3.8665038,2.061845528687077
K2-36 c,c,5.340786,0.1357,2.41,772.0,2.7888,0.717,0.76,4836.0,4.55,169.4490102,3.8665038,2.061845528687077
K2-110 b,b,13.86368,0.1357,2.558,571.0,2.7888,0.71,0.7,4868.0,4.53,207.3497402,-12.2849182,1.95579347938454
WASP-47 e,e,0.78957,0.1357,1.79,1827.949999999999,2.7888,1.144,1.01,5476.0,4.27,331.203092,-12.019067,0.6745952834392368
WASP-47 b,b,4.159152,0.1357,12.251,1146.0,2.7888,1.144,1.01,5476.0,4.27,331.203092,-12.019067,0.6745952834392368
WASP-47 c,c,59.84855433221,0.1357,2.6,331.03999999999996,2.7888,1.144,1.01,5476.0,4.27,331.203092,-12.019067,0.6745952834392368
EPIC 220674823 b,b,0.571282,0.1357,1.87,1827.949999999999,2.7888,0.995,0.91,5496.0,4.42,13.0800239,10.7947051,0.9237876460913694
EPIC 220674823 c,c,13.33918,0.1357,3.01,740.0,2.7888,0.995,0.91,5496.0,4.42,13.0800239,10.7947051,0.9237876460913694
K2-32 b,b,8.99196,0.1357,5.038,761.0,2.7888,0.855,0.84,5274.0,4.49,252.426008,-19.5430504,1.3439432855933482
K2-32 d,d,31.7169,0.1357,3.33,500.0,2.7888,0.855,0.84,5274.0,4.49,252.426008,-19.5430504,1.3439432855933482
K2-216 b,b,2.174789,0.1357,1.66,967.0,2.7888,0.699,0.72,4495.0,4.6,11.4802354,6.3470302,2.1081473808996214
K2-180 b,b,8.8656,0.1357,2.13,672.0,2.7888,0.638,0.67,5166.0,4.63,126.4643579,10.246577,2.579958775493343
WASP-75 b,b,2.4841939,0.92,11.8,809.0,1.98,1.13,0.88,5994.0,4.4905,342.3858995,-10.6754686,0.6098841428043722
K2-155 b,b,6.34365,0.1357,1.55,809.0,2.7888,0.526,0.54,3919.0,4.732,65.469614,21.3532633,3.7105349563451435
K2-65 b,b,12.6475,0.1357,1.58,809.0,3.43,0.84,0.87,5213.0,4.533,333.2125206,-10.9261373,1.4678490443796568
K2-58 d,d,22.88159,0.1357,1.75221592,809.0,2.7888,0.803348,0.857874,5134.0,4.54,333.8218395,-14.049857,1.6546736661086687
K2-35 c,c,5.60871,0.0938,1.9,809.0,1.7976,0.603,0.88,5293.0,4.4905,170.1031027,1.2858679,4.013569019410337
EPIC 210550063.01,,2.165976,0.05025,2.61,809.0,1.5264,1.1,0.88,5293.0,4.4905,61.1318619,16.216647,0.6611570247933882
K2-411 b,b,3.2141,0.1357,0.9898,809.0,2.7888,1.375,1.018,5711.0,4.1693,58.003631,19.3909877,0.39159729526671677
GJ 9827 d,d,6.20183,0.1357,1.955,612.0,2.7888,0.579,0.593,4294.0,4.682,351.7717763,-1.2853435,3.055054781588596
WASP-107 b,b,5.7214742,0.1357,10.55,672.5,2.7888,0.67,0.88,4425.0,4.633,188.3864277,-10.1462141,2.925891815150134
WASP-107 c,c,59.84855433221,0.1357,2.6,809.0,2.7888,0.67,0.88,4425.0,4.633,188.3864277,-10.1462141,2.925891815150134
K2-222 b,b,15.3863,0.1357,2.41,801.0,2.7888,1.093,0.92,5961.0,4.33,16.4625203,11.7537171,0.7045751819961541
K2-32 b,b,17.97586029496,0.31594997,4.78034841,595.87,3.3462754,0.851795,0.88,5274.0,4.53357,252.426008,-19.5430504,1.4238931894792501
K2-199 b,b,3.225286,0.1357,1.74,842.0,2.7888,0.68,0.69,4507.0,4.6,208.9014508,-6.1360833,2.1944331365764294
K2-199 c,c,7.37442,0.1357,2.67,639.0,2.7888,0.68,0.69,4507.0,4.6,208.9014508,-6.1360833,2.1944331365764294
K2-3 b,b,10.054626,0.1357,2.14,463.0,2.7888,0.561,0.601,3896.0,4.734,172.3353708,-1.4551364,3.4039712881308706
K2-3 c,c,24.646582,0.1357,1.72,344.0,2.7888,0.561,0.601,3896.0,4.734,172.3353708,-1.4551364,3.4039712881308706
K2-3 d,d,44.556456,0.1357,1.52,331.03999999999996,2.7888,0.561,0.601,3896.0,4.734,172.3353708,-1.4551364,3.4039712881308706
K2-291 b,b,2.225177,0.1357,1.589,1278.0,2.7888,0.934,0.934,5520.0,4.5,76.44594,21.548199,1.1463209973909734
K2-24 b,b,20.88977,0.1357,5.4,686.0,2.7888,1.16,1.07,5625.0,4.29,242.5734559,-24.9906029,0.6855037106892453
K2-24 c,c,42.3391,0.1357,7.5,542.0,2.7888,1.16,1.07,5625.0,4.29,242.5734559,-24.9906029,0.6855037106892453
K2-108 b,b,4.73401,0.1357,5.28,1446.0,2.7888,1.75,1.6,5474.0,3.99,123.3818484,16.419516,0.29854227405247813
HD 106315 b,b,9.55288,0.1357,2.4,1040.0,2.7888,1.269,1.154,6364.0,4.291,183.4724742,-0.3934357,0.5647041021044051
HD 106315 c,c,21.05652,0.1357,4.379,799.0,2.7888,1.269,1.154,6364.0,4.291,183.4724742,-0.3934357,0.5647041021044051
GJ 9827 b,b,1.2089765,0.1357,1.529,1055.0,2.7888,0.579,0.593,4294.0,4.682,351.7717763,-1.2853435,3.055054781588596
GJ 9827 c,c,3.648095,0.1357,1.201,730.0,2.7888,0.579,0.593,4294.0,4.682,351.7717763,-1.2853435,3.055054781588596
K2-346 b,b,26.19445485478,0.12027717,2.99459349,439.45,3.8354088,0.709927,0.88,4678.0,4.60838,125.9864854,22.663226,2.459470350019499
K2-239 d,d,10.115,0.065,1.1,399.0,1.8384,0.36,0.4,3420.0,4.9,160.5941265,4.4413751,8.573388203017833
K2-151 b,b,3.835476,0.1357,1.49,566.0,2.7888,0.45,0.47,3695.0,4.8,19.3047733,9.5012663,5.157750342935527
K2-289 b,b,13.15628,0.1357,3.2,809.0,3.92592,0.38,0.88,3809.0,4.89,246.6429443,-15.7925384,16.037323224959906
K2-119 b,b,7.727574,0.1357,2.6,809.0,2.8392,0.71,0.88,5293.0,4.4905,132.0098683,16.9017663,2.4587118026548507
K2-348 c,c,12.550896,0.0858,2.6,809.0,2.8296,0.828,0.88,5220.0,4.545,130.8783479,24.4229559,1.5502140253669132
EPIC 201595106 b,b,0.877214,0.1357,1.3,809.0,2.7888,0.93,0.88,5820.0,4.6,183.7203635,1.9681688,1.0940415760663484
K2-30 b,b,4.09847409321,1.68699465,14.83669218,1078.61,2.323409,1.06395,0.88,5198.0,4.33,52.3420548,22.2993491,0.7306661961688147
K2-266 e,e,19.48348329613,0.15096833,3.54834332,466.95,4.6663301,0.733789,0.88,4362.0,4.53943,157.9356855,0.9372782,2.2272505808073797
K2-163 b,b,6.673117,0.1357,2.46610713,809.0,2.7888,0.762201,0.826112,4937.0,4.71,182.3292517,-0.5393421,1.865650926068031
K2-191 b,b,2.85847,0.0308,1.63,809.0,2.232,0.8988,0.88,5293.0,4.4905,201.6391407,-12.8066737,1.211974495977671
K2-278 b,b,3.33253,0.0374,3.63,809.0,3.936,1.766,0.88,5293.0,4.4905,203.3018653,-14.5041057,0.15977564315807788
K2-28 b,b,2.260404,0.675,1.52,809.0,0.984,0.184,0.88,5293.0,4.4905,335.6233145,-7.9563525,141.26325306155996
K2-21 c,c,15.50192,0.1357,2.49,809.0,2.7888,0.646783,0.676023,4222.06,4.4905,340.3037846,-14.4893256,2.498536410766003
K2-30 b,b,4.098506,0.1357,12.3,809.0,2.241,0.92,0.93,5567.0,4.48,52.3420548,22.2993491,1.194316594065916
K2-57 b,b,9.0073,0.099,2.30905002,635.8,2.58,0.671,0.699,4413.0,4.629,342.6918241,-14.0700007,2.3137136845383655
K2-344 b,b,3.35585,0.1357,1.59,722.0,1.76,0.49,0.51,4374.0,4.76,136.3614923,21.6685886,4.3349284736801845
K2-288 B b,b,31.393463,0.1357,1.9,331.03999999999996,2.112,0.32,0.33,3341.0,4.96,55.4442857,18.2684913,10.070800781249998
K2-274 b,b,14.13168,0.0974,2.18,809.0,3.648,0.7209,0.88,5293.0,4.4905,129.2823699,20.3992512,2.348862506549721
K2-321 b,b,2.29799150846,0.13549641,2.32710652,733.88,0.984865,0.590525,0.88,3650.0,4.66,156.4054989,2.5138829,4.273343535419452
K2-365 b,b,23.446873,0.1357,2.89705396,809.0,2.7888,0.986872,0.88,5869.0,4.53,238.8197061,-21.0269691,0.9155882080822157
EPIC 212424622 b,b,18.0971,0.0298,2.21,809.0,4.32,1.2247,0.88,5293.0,4.4905,202.3313765,-14.3594358,0.47906398043514514
K2-272 b,b,14.454034,0.1374,3.2,809.0,2.736,0.802,0.88,5490.0,4.548,132.6211743,17.5423852,1.7059235605738792
K2-88 b,b,4.61228,0.1357,2.3,809.0,2.7888,0.459539,0.477046,3624.15,4.4905,54.7514566,19.1199667,4.9157878761469345
K2-198 b,b,17.0428683,0.1357,4.189,715.8,2.7888,0.757,0.799,5212.9,4.4905,198.8436817,-6.4649888,1.8418707064256274
K2-270 c,c,4.399739,0.1682,3.01,809.0,1.692,0.735,0.88,5293.0,4.4905,131.2665588,13.5497322,2.216259728010784
K2-166 b,b,8.527219,0.1357,1.82322896,809.0,2.7888,1.196219,1.072665,5922.0,4.24,185.1880932,2.2823788,0.6266600682560988
K2-124 b,b,6.414008,0.4614,2.9,809.0,1.6776,0.394,0.88,3620.0,4.863,133.6410515,23.1329509,14.38778722764736
K2-334 b,b,5.113823,0.1054,5.0,809.0,2.1504,1.409,0.88,6890.0,4.274,136.4894259,16.3255146,0.3145934620817063
K2-14 b,b,8.36779,1.226,8.51,809.0,2.3304,0.708,0.88,5293.0,4.4905,178.0568745,2.5941222,2.4796072590637763
K2-131 b,b,0.3693038,0.1357,1.69,1827.949999999999,2.7888,0.7595,0.803,5120.0,4.4905,182.751404,-9.7652392,1.8328723120696087
WASP-28 b,b,3.4088353,0.1357,2.6,809.0,2.7888,1.094,1.021,6150.0,4.37,353.4175668,-1.5799849,0.7797830236399722
K2-419 A b,b,20.35919,3.912,11.3,809.0,3.6504,0.55,0.88,5293.0,4.4905,135.0194934,13.2737056,5.289256198347106
K2-139 b,b,28.382071,0.1357,9.26802368,809.0,2.7888,0.872288,0.948628,5425.0,4.66,289.066707,-17.9107147,1.4292764744787227
K2-29 b,b,3.25883406,0.1357,2.6,809.0,2.7888,0.86,0.94,5358.0,4.54,62.670422,24.4016558,1.4778572955840366
K2-133 b,b,3.07133,0.1357,1.34,809.0,2.7888,0.455,0.461,3655.0,4.4905,70.1493775,25.0098135,4.894031219354248
K2-71 b,b,6.9862794,0.291,3.32,809.0,1.87,0.57,0.88,3891.0,4.4905,341.7248656,-9.8816109,4.751799474062196
K2-155 d,d,40.6835,0.1357,1.64,809.0,2.7888,0.526,0.54,3919.0,4.732,65.469614,21.3532633,3.7105349563451435
K2-341 b,b,36.552551,0.1357,3.21,598.0,6.25,1.16,0.98,5817.0,4.3,130.4971951,19.9166357,0.6278445200705237
K2-57 b,b,9.0063,0.1357,2.1,809.0,2.29,0.621,0.683,4434.0,4.68,342.6918241,-14.0700007,2.8519762406076814
K2-198 d,d,7.4500177,0.1357,2.438,943.2,2.7888,0.757,0.799,5212.9,4.4905,198.8436817,-6.4649888,1.8418707064256274
K2-70 b,b,13.98746633,0.102,2.6,809.0,3.958,0.792485,0.846,5064.0,4.56746,338.4759328,-10.0849917,1.6997975966639391
EPIC 249893012 c,c,15.624,0.1357,3.67,990.0,6.37,1.71,1.05,5430.0,3.99,228.2482353,-16.7246474,0.20999113837396066
K2-224 c,c,10.09607,0.1357,2.5054075,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,189.7041426,-10.0605942,1.3639610395866055
K2-321 b,b,2.298,0.11,1.95,701.0,2.7888,0.583,0.599,3855.0,4.683,156.4054989,2.5138829,3.022881746274073
K2-52 b,b,3.535155,0.6314,16.6,809.0,5.4312,2.07,0.88,5293.0,4.4905,246.6114157,-24.9699462,0.09921369762348246
K2-345 b,b,10.367437,0.1357,2.11,437.0,2.08,0.52,0.56,3779.0,4.74,132.7075876,21.7890367,3.982703686845699
K2-104 b,b,1.9741954,0.1357,1.79,798.0,2.7888,0.48,0.51,3712.0,4.78,129.6366594,19.7737202,4.611545138888889
EPIC 220554210 c,c,0.70531,0.1357,1.48,809.0,2.7888,0.8640925,0.94,5293.0,4.4905,13.4321524,7.9952914,1.456958383194783
K2-138 f,f,12.75759,0.1357,2.81,809.0,3.19,0.86,0.93,5378.0,4.59,348.9490311,-10.8497391,1.4621354094608023
K2-346 b,b,26.1956,0.0965,2.08,809.0,3.432,0.656,0.88,5293.0,4.4905,125.9864854,22.663226,3.1172465576529644
K2-12 b,b,8.28176,0.1357,2.72,809.0,4.18,1.31,1.18,6177.0,4.28,173.1919022,2.2446794,0.5248897842658504
Qatar-2 b,b,1.33711716,0.1357,2.6,809.0,2.7888,0.713,0.74,4645.0,4.601,207.6554928,-6.8040714,2.041564616829207
K2-114 b,b,11.391013,0.1357,10.67,661.0,2.7888,0.84,0.89,5044.0,4.54,127.882912,11.922255,1.5015927005722927
K2-281 b,b,8.687708,0.1357,8.1,809.0,2.7504,0.75,0.88,5293.0,4.4905,16.2274724,7.2692169,2.0859259259259257
K2-275 b,b,3.281,0.077,2.6,809.0,1.78992,0.735345,0.772,4783.55,4.5927,132.1698795,20.4550162,1.9415289426990028
K2-368 d,d,20.201085,0.1357,1.948,809.0,2.7888,0.663,0.746,4663.0,4.667,332.6357627,-11.1661157,2.5597540703581068
K2-187 e,e,13.609878,0.1357,2.38,698.0,2.7888,0.92,0.98,5484.0,4.5,132.5235618,23.1924709,1.2585271636393522
K2-91 b,b,1.419604,0.1357,1.22,809.0,2.7888,0.32067,0.383934,3488.9,4.4905,63.2182348,24.2047218,11.643447202980473
K2-83 c,c,9.997442,0.1357,2.11,809.0,2.7888,0.547001,0.594112,3875.75,4.4905,59.9013782,15.5587994,3.6299777544965495
HD 3167 c,c,29.844982,0.1357,2.83066164,809.0,2.7888,0.836616,0.89032,5366.0,4.54,10.8020706,4.3807215,1.5204342047189265
HD 3167 b,b,0.959628,0.1357,1.557,1827.949999999999,1.65,0.828,0.883,5370.0,4.52,10.8020706,4.3807215,1.5554988459079369
HD 3167 c,c,29.8454,0.1357,2.85,500.0,4.81,0.828,0.883,5370.0,4.52,10.8020706,4.3807215,1.5554988459079369
HD 3167 c,c,29.83832,0.1357,2.86,531.0,2.7888,0.87,0.94,5528.0,4.53,10.8020706,4.3807215,1.4274802088980612
HD 3167 b,b,0.96,0.1357,1.626,809.0,2.7888,0.88,0.837,5261.0,4.47,10.8020706,4.3807215,1.2282236100676183
HD 3167 c,c,6.738783,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,10.8020706,4.3807215,1.3639610395866055
HD 3167 b,b,0.959641,0.0294,1.7,809.0,1.622,0.86,0.86,5261.0,4.47,10.8020706,4.3807215,1.3520822065981613
HD 3167 c,c,29.8454,0.0946,3.01,809.0,5.15,0.86,0.86,5261.0,4.47,10.8020706,4.3807215,1.3520822065981613
HD 3167 d,d,8.509,0.1357,2.6,809.0,2.7888,0.86,0.86,5261.0,4.47,10.8020706,4.3807215,1.3520822065981613
HD 3167 b,b,0.959628,0.1357,1.8,809.0,1.6488,0.88,0.88,5293.0,4.4905,10.8020706,4.3807215,1.2913223140495869
HD 3167 c,c,29.839835,0.1357,3.0,809.0,5.0592,0.88,0.88,5293.0,4.4905,10.8020706,4.3807215,1.2913223140495869
HD 3167 b,b,0.959665,0.1357,1.62377492,809.0,2.7888,0.836616,0.89032,5366.0,4.54,10.8020706,4.3807215,1.5204342047189265
HD 3167 b,b,0.959624,0.1357,1.7,1669.0,2.7888,0.87,0.94,5528.0,4.53,10.8020706,4.3807215,1.4274802088980612
HD 3167 b,b,0.959632,0.1357,1.574,1759.0,1.65,0.835,0.877,5286.0,4.51,10.8020706,4.3807215,1.506399514070214
HD 3167 c,c,29.84622,0.1357,2.74,548.0,4.81,0.835,0.877,5286.0,4.51,10.8020706,4.3807215,1.506399514070214
HD 3167 b,b,0.959622,0.1357,1.6,809.0,2.7888,0.83,0.88,5438.0,4.6,10.8020706,4.3807215,1.539034640521733
HD 3167 c,c,29.875221,0.1357,2.3,809.0,2.7888,0.83,0.88,5438.0,4.6,10.8020706,4.3807215,1.539034640521733
HD 3167 b,b,0.95965428,0.1357,1.627,1777.0,1.609,0.871,0.852,5300.0,4.47,10.8020706,4.3807215,1.2893924703665716
HD 3167 c,c,29.8464948,0.1357,2.923,565.0,4.869,0.871,0.852,5300.0,4.47,10.8020706,4.3807215,1.2893924703665716
HD 3167 d,d,8.4783,0.1357,2.6,859.5,2.7888,0.871,0.852,5300.0,4.47,10.8020706,4.3807215,1.2893924703665716
HD 3167 e,e,59.84855433221,0.1357,2.6,374.8,2.7888,0.871,0.852,5300.0,4.47,10.8020706,4.3807215,1.2893924703665716
HD 3167 d,d,8.4112,0.1357,2.6,809.0,2.7888,0.88,0.837,5261.0,4.4905,10.8020706,4.3807215,1.2282236100676183
HD 3167 e,e,59.84855433221,0.1357,2.6,809.0,2.7888,0.88,0.837,5261.0,4.4905,10.8020706,4.3807215,1.2282236100676183
HD 3167 b,b,0.959641,0.1357,1.67,1774.0,2.7888,0.88,0.837,5261.0,4.4905,10.8020706,4.3807215,1.2282236100676183
HD 3167 c,c,29.8454,0.1357,3.0,564.0,2.7888,0.88,0.837,5261.0,4.4905,10.8020706,4.3807215,1.2282236100676183
HD 3167 b,b,6.738783,0.1357,2.6,809.0,2.7888,0.8640925,0.88,5293.0,4.4905,10.8020706,4.3807215,1.3639610395866055
HD 3167 b,b,0.959641,0.1357,1.7,1608.0,2.7888,0.872,0.866,5261.0,4.47,10.8020706,4.3807215,1.3060759643220343
HD 3167 c,c,29.8454,0.1357,3.01,511.0,2.7888,0.872,0.866,5261.0,4.47,10.8020706,4.3807215,1.3060759643220343
HD 3167 d,d,8.509,0.1357,2.6,776.0,2.7888,0.872,0.866,5261.0,4.47,10.8020706,4.3807215,1.3060759643220343
K2-198 b,b,17.043,0.1737,2.6,809.0,2.58096,0.781501,0.879,5183.84,4.5962,198.8436817,-6.4649888,1.8416210096639782
