pl_name,pl_letter,pl_orbper,pl_trandep,pl_rade,pl_eqt,pl_trandur,st_rad,st_mass,st_teff,st_logg,ra,dec,stellar_density
K2-136 d,d,25.575065,0.1357,1.45,373.0,3.12,0.66,0.74,4499.0,4.66,67.4128615,22.8825674,2.57394885494059
K2-100 b,b,1.674,0.0589,2.6,809.0,1.398,1.21742,1.153,6115.49,4.32901,129.6010863,20.1060074,0.6390105242256379
K2-100 b,b,1.673847,0.1357,3.6,809.0,1.5408,1.23,0.88,5293.0,4.4905,129.6010863,20.1060074,0.4728978481535758
K2-70 b,b,13.9782,0.1076,2.69,809.0,3.444,0.783,0.88,5293.0,4.4905,338.4759328,-10.0849917,1.8331473949016341
K2-336 b,b,21.1976,0.0263,1.33,809.0,5.04,0.7747,0.88,5293.0,4.4905,133.8382032,16.7940663,1.8927009680410043
K2-68 b,b,8.05423,0.0668,1.73,809.0,2.976,0.655,0.88,5293.0,4.4905,334.0195539,-10.5673649,3.1315458315521925
K2-123 b,b,30.953,0.1646,2.6,809.0,3.23592,0.609039,0.595401,3856.0,4.64359,134.4441404,21.4532748,2.635568137963465
K2-5 c,c,10.93406,0.1357,1.92,511.0,2.7888,0.52,0.53,4102.0,4.4905,169.3034598,-1.8778254,3.769344560764679
EPIC 211537087.03,,41.9,0.1357,2.28,331.03999999999996,2.7888,0.86,0.9,5568.0,4.52,128.3219134,13.6613758,1.414969751091099
K2-386 b,b,7.47331,0.0661,2.74,809.0,3.5568,1.012,0.88,5293.0,4.4905,18.2999964,7.0130302,0.8490653827892409
K2-318 b,b,7.01,0.085,1.66,456.0,2.7888,0.552,0.561,3851.0,4.701,232.4461375,-17.557463,3.335382363953498
K2-123 b,b,30.96028326,0.202,2.6,809.0,4.117,0.609039,0.595401,3856.0,4.64359,134.4441404,21.4532748,2.635568137963465
K2-237 b,b,2.18053332,1.416,16.06246934,1759.0,2.92728,1.236,1.256,6180.0,4.353,253.7688479,-28.188578156000002,0.6651724098076206
K2-375 b,b,14.443,0.0245,2.6,809.0,6.03504,1.54893,1.05,5826.08,4.0792,130.5013137,20.3593003,0.2825490978676698
K2-35 c,c,5.60906,0.1357,1.69,809.0,1.9,0.601,0.663,4426.0,4.697,170.1031027,1.2858679,3.0541482378801534
K2-123 b,b,30.954,0.2117,3.07,809.0,3.768,0.637,0.88,5293.0,4.4905,134.4441404,21.4532748,3.404586518905961
EPIC 220674823 c,c,13.338687,0.1357,2.8,809.0,3.4392,0.97,0.88,5293.0,4.4905,13.0800239,10.7947051,0.9642007597463714
EPIC 206061524.01,,5.8796123,0.922,6.5,809.0,2.53,0.62,0.88,4089.0,4.4905,335.057616,-13.1147717,3.692390319223927
K2-39 b,b,4.6049829,0.0432,1.67,809.0,8.79,0.74,0.88,4843.0,4.4905,338.3682095,-9.0229405,2.1716384024638224
EPIC 206061524.01,,5.8797,0.1357,2.6,809.0,2.232,0.807445,0.643,4111.0,4.43205,335.057616,-13.1147717,1.2214399605000081
K2-39 b,b,4.6028,0.1357,2.6,809.0,8.184,3.12057,0.88,4911.0,4.4905,338.3682095,-9.0229405,0.028958821572828777
HATS-9 b,b,1.9153073,0.1357,11.937585,1823.0,3.4968,1.503,1.03,5366.0,4.095,290.8101704,-20.1663771,0.3033613741767437
K2-39 b,b,4.60543,0.1357,8.2,809.0,2.7888,3.88,1.53,4881.0,3.5776933,338.3682095,-9.0229405,0.026193664105325788
K2-39 b,b,4.60497,0.1357,7.09,809.0,0.6020314999999999,2.59,1.17,4993.0,3.682,338.3682095,-9.0229405,0.06734208669182805
EPIC 206061524.01,,5.87975,0.1357,3.76,809.0,2.43792,0.393,0.88,4056.0,4.883,335.057616,-13.1147717,14.497897368297187
EPIC 206061524.01,,5.87913354,0.841,2.6,809.0,2.427,0.807445,0.643,4111.0,4.43205,335.057616,-13.1147717,1.2214399605000081
K2-39 b,b,4.60497,0.1357,5.71,1670.0,2.7888,2.93,1.192,4912.0,3.58,338.3682095,-9.0229405,0.04738854716613505
HATS-9 b,b,1.915298,0.1357,17.2,809.0,3.5592,1.94,0.88,5293.0,4.4905,290.8101704,-20.1663771,0.12052509496829643
HATS-11 b,b,3.619192,0.1357,10.2,809.0,4.4208,0.89,0.88,5293.0,4.4905,289.4007603,-22.3900092,1.2482818393432902
HATS-12 b,b,3.14272,0.1357,7.8,809.0,4.4808,1.22,0.88,5293.0,4.4905,289.202402,-19.3559227,0.48462206087734216
EPIC 219388192.01,,5.29266,0.1357,9.6,809.0,3.3,1.0,0.88,5293.0,4.4905,289.3917955,-16.8717267,0.88
EPIC 218621322.01,,11.587502,0.1357,21.9,809.0,3.9,1.0,0.88,5293.0,4.4905,285.4688322,-18.4681649,0.88
HATS-36 b,b,4.175187,0.1357,13.4,809.0,3.3792,1.15,0.88,5293.0,4.4905,291.4787013,-23.2028183,0.5786142845401496
HATS-36 b,b,4.1752387,1.4,13.843115,1356.0,3.46272,1.155,1.222,6149.0,4.4,291.4787013,-23.2028183,0.7930950754361109
HATS-9 b,b,1.915311,0.1357,13.1414316,809.0,3.50832,1.58042,0.963,5494.0,4.02415,290.8101704,-20.1663771,0.24395444530693286
HATS-11 b,b,3.6191634,0.1357,16.667783,809.0,4.36848,1.46198,1.06,5871.0,4.13349,289.4007603,-22.3900092,0.33922009451757845
HATS-12 b,b,3.1428347,0.1357,15.513256,809.0,4.52376,0.8640925,0.88,5293.0,4.4905,289.202402,-19.3559227,1.3639610395866055
HATS-12 b,b,3.142846,0.1357,8.84505104,809.0,2.7888,1.29462,1.214365,6235.0,4.22,289.202402,-19.3559227,0.5596574711995466
EPIC 219388192.01,,5.292605,0.1357,9.9778729,809.0,2.7888,0.969695,0.88,5689.0,4.43,289.3917955,-16.8717267,0.9651108616011169
