toi,tid,tfopwg_disp,toipfx,st_tmag,st_rad,st_teff,st_logg,st_dist,toi_created,ra,dec
173.0102,231670397.0,KP,173.0,9.8638,2.2186699,6036.0,3.93359,316.678,2018-09-05 18:49:20,319.949697,-58.148933
1040.01,310483807.0,FP,1040.0,8.3854,4.336771595999974,9598.49,4.33,732.432,2019-07-24 18:44:12,128.61421,-61.488262
1041.01,385624852.0,FP,1041.0,8.0981,3.05,9081.0,3.83,305.034,2019-07-24 18:44:12,138.402252,-55.19791
1042.01,360286627.0,PC,1042.0,9.718,3.5086601,9598.49,3.75,792.633,2019-07-24 18:44:12,141.975215,-61.33004
1043.01,90448944.0,FP,1043.0,9.5719,1.52,6902.0,4.25,208.055,2019-07-24 18:44:12,128.302319,-52.714202
1044.01,463402815.0,PC,1044.0,10.0031,1.23434,5215.2,4.33,494.689,2019-07-24 18:44:12,153.811023,-58.766393
1045.01,54044474.0,FP,1045.0,9.6306,1.9,7013.8,4.21,300.696,2019-07-24 18:44:12,159.887704,-32.51188
1046.01,309787037.0,FP,1046.0,10.0119,1.75,6762.0,4.11,301.298,2019-07-24 18:44:12,126.419468,-60.907514
1047.01,370745311.0,FP,1047.0,10.2355,0.93,5622.0,4.5,134.926,2019-07-24 18:44:12,144.581535,-67.505097
1048.01,384549882.0,FP,1048.0,8.802,2.52,9598.49,4.14,440.426,2019-07-24 18:44:12,136.527702,-54.903922
1126.01,405862830.0,FP,1126.0,10.3579,0.73,5034.0,4.64,97.8115,2019-08-22 14:42:11,279.062469,-43.620606
1127.01,269450900.0,FP,1127.0,7.356738,1.23434,8268.5,3.93,177.741,2019-08-22 14:42:11,292.195297,-36.00026
1128.01,425721385.0,FP,1128.0,9.7298,1.63,6209.0,4.09,222.529,2019-08-22 14:42:11,289.761799,-43.074223
1129.01,91576611.0,FP,1129.0,8.7823,2.32,7101.9,3.91,247.414,2019-08-22 14:42:10,284.157959,-29.398357
173.0102,97409519.0,KP,173.0,12.1893,1.02,6050.0,4.45061,448.637,2018-09-05 18:49:20,332.714337,-30.749719
1130.01,254113311.0,CP,1130.0,10.1429,0.74,4236.0,4.52,58.2609,2019-08-22 14:42:11,286.376004,-41.43764
1130.02,254113311.0,CP,1130.0,10.1429,0.741921,4236.0,4.52,58.2609,2019-09-03 17:42:04,286.376004,-41.43764
1131.01,198213332.0,PC,1131.0,9.2872,2.39803,5579.0,3.67,222.74,2019-08-27 16:09:24,248.433545,61.718334
1132.01,267489265.0,FP,1132.0,9.2293,1.86,7851.0,4.17,286.668,2019-08-27 16:09:23,298.781281,54.781445
1133.01,69997672.0,FP,1133.0,9.11458,2.2,6244.0,3.84,233.369,2019-09-03 15:31:11,294.824079,31.958037
